五笔字型计算机汉字输入技术	gtps
迄今为止	twyh
系统工程	txat
身经百战	txdh
千丝万缕	txdx
各级党委	txit
各级领导	txwn
千方百计	tydy
知识更新	tygu
循序渐进	tyif
程序逻辑	tyll
甜言蜜语	typy
秋高气爽	tyrd
程序控制	tyrr
知识分子	tywb
丢卒保车	tywl
程序结构	tyxs
程序变换	tyyr
程序设计	tyyy
旁若无人	uafw
奖勤罚懒	ualn
将功赎罪	uaml
前功尽弃	uany
总工程师	uatj
半工半读	uauy
新陈代谢	ubwy
交通规则	ucfm
总参谋部	ucyu
头破血流	udti
头面人物	udwt
总而言之	udyp
道貌岸然	uemq
装腔作势	uewr
前无古人	ufdw
斗志昂扬	ufjr
闻过则喜	ufmf
卷土重来	uftg
壮志凌云	ufuf
背井离乡	ufyx
疲于奔命	ugdw
总政治部	ugiu
帝王将相	ugus
疾恶如仇	ugvw
闭目塞听	uhpk
首当其冲	uiau
逆水行舟	uitt
新兴产业	uiuo
遵照执行	ujrt
半路出家	ukbp
美中不足	ukgk
闭路电视	ukjp
冷嘲热讽	ukry
道听途说	ukwy
商品经济	ukxi
善罢甘休	ulaw
前车之鉴	ulpj
前因后果	ulrj
前车可鉴	ulsj
并驾齐驱	ulyc
帝国主义	ulyy
闻风丧胆	umfe
曾几何时	umwj
首屈一指	ungr
闲情逸致	unqg
兼收并蓄	unua
痛改前非	unud
痛心疾首	unuu
痴心妄想	unys
产业革命	uoaw
冲锋陷阵	uqbb
闻名遐迩	uqnq
总后勤部	urau
前所未有	urfd
闻所未闻	urfu
意气风发	urmn
单枪匹马	usac
装模作样	usws
资本主义	usyy
头重脚轻	utel
并行不悖	utgn
立竿见影	utmj
尊重知识	utty
病入膏肓	utyy
门道若市	uuay
新闻联播	uubr
资产阶级	uubx
背道而驰	uudc
头头是道	uuju
闭门思过	uulf
闭门造车	uutl
新闻简报	uutr
养尊处优	uutw
亲痛仇快	uuwn
新闻记者	uuyf
单刀直入	uvft
善始善终	uvux
半途而废	uwdy
新华书店	uwny
前仆后继	uwrx
总会计师	uwyj
背信弃义	uwyy
总结经验	uxxc
辛亥革命	uyaw
门庭若市	uyay
北京时间	uyju
冷言冷语	uyuy
如获至宝	vagp
如出一辙	vbgl
好大喜功	vdfa
如愿以偿	vdnw
忍辱负重	vdqt
九霄云外	vffq
妙趣横生	vfst
忍无可忍	vfsv
好事多磨	vgqy
如此而已	vhdn
鼠目寸光	vhfi
如虎添翼	vhin
如上所述	vhrs
如法炮制	vior
灵丹妙药	vmva
怒发冲冠	vnup
好逸恶劳	vqga
如鱼得水	vqti
既然如此	vqvh
如饥似渴	vqwi
忍气吞声	vrgf
灵机一动	vsgf
杂乱无章	vtfu
既往不咎	vtgt
建筑材料	vtso
如释重负	vttq
群策群力	vtvl
如意算盘	vutt
群众观点	vwch
忍俊不禁	vwgs
群众路线	vwkx
始终不渝	vxgi
好高骛远	vycf
好为人师	vywj
公共场所	wafr
公共汽车	wail
作茧自缚	watx
偷工减料	wauo
任劳任怨	wawq
保卫祖国	wbpl
八面玲珑	wdgg
华而不实	wdgp
集成电路	wdjk
人寿保险	wdwb
作威作福	wdwp
借古讽今	wdyw
集腋成裘	wedf
人才辈出	wfdb
众志成城	wfdf
领土完整	wfpg
何去何从	wfww
贫下中农	wgkp
贪天之功	wgpa
偷天换日	wgrj
供不应求	wgyf
众目睽睽	whhh
贪污受贿	wiem
化学元素	wifg
人浮于事	wigg
停滞不前	wigu
偷梁换柱	wirs
含沙射影	witj
贪污盗窃	wiup
全党全国	wiwl
全党全军	wiwp
似是而非	wjdd
借题发挥	wjnr
信口开河	wkgi
偏听偏信	wkww
体力劳动	wlaf
全力以赴	wlnf
全国各地	wltf
集思广益	wlyu
伤风败俗	wmmw
贪赃枉法	wmsi
登峰造极	wmts
人尽其才	wnaf
领导干部	wnfu
舍己救人	wnfw
人民政府	wngy
人民日报	wnjr
全心全意	wnwu
企业管理	wotg
倾家荡产	wpau
人定胜天	wpeg
从容不迫	wpgr
贪官污吏	wpig
全神贯注	wpxi
舍近求远	wrff
众所周知	wrmt
体制改革	wrna
优质产品	wruk
人杰地灵	wsfv
追根究底	wspy
贪得无厌	wtfd
分秒必争	wtnq
众矢之的	wtpr
信息反馈	wtrq
信息处理	wttg
人微言轻	wtyl
焦头烂额	wuop
分道扬镳	wurq
众叛亲离	wuuy
合资企业	wuwo
仅供参考	wwcf
倾盆大雨	wwdf
个人成分	wwdw
假公济私	wwit
任人唯贤	wwkj
任人唯亲	wwku
公费医疗	wxau
集市贸易	wyqj
釜底抽薪	wyra
健康状况	wyuu
毕恭毕敬	xaxa
绝大多数	xdqo
绝大部分	xduw
引进技术	xfrs
绝无仅有	xfwd
绘声绘色	xfxq
纷至沓来	xgig
统一思想	xgls
弱不禁风	xgsm
统一计划	xgya
综上所述	xhrs
纸上谈兵	xhyr
经济基础	xiad
结党营私	xiat
约法三章	xidu
纲举目张	xihx
经济危机	xiqs
经济制裁	xirf
经济杠杆	xiss
经济核算	xist
经济特区	xita
经济管理	xitg
细水长流	xiti
经济效益	xiuu
绞尽脑汁	xnei
费尽心机	xnns
引以为戒	xnya
约定俗成	xpwd
缩手缩脚	xrxe
纵横驰骋	xscc
缘木求鱼	xsfq
纸醉金迷	xsqo
继往开来	xtgg
贯彻执行	xtrt
统筹兼顾	xtud
综合治理	xwig
引人注目	xwih
结合实际	xwpb
综合利用	xwte
引经据典	xxrm
组织纪律	xxxt
强词夺理	xydg
计划生育	yaty
讳莫如深	yavi
充耳不闻	ybgu
熟能生巧	ycta
言而有信	yddw
望而却步	ydfh
言而无信	ydfw
应有尽有	ydnd
广大群众	ydvw
为非作歹	ydwg
应用技术	yers
言过其实	yfap
遍地开花	yfga
读者来信	yfgw
文过饰非	yfqd
义无反顾	yfrd
旗鼓相当	yfsi
市场信息	yfwt
毫无疑问	yfxu
毫无疑义	yfxy
读者论坛	yfyf
文不对题	ygcj
词不达意	ygdu
言不由衷	ygmy
义不容辞	ygpt
刻不容缓	ygpx
旗开得胜	ygte
高瞻远瞩	yhfh
谈虎色变	yhqy
为虎作伥	yhww
亦步亦趋	yhyf
调虎离山	yhym
谦虚谨慎	yhyn
高深莫测	yiai
廉洁奉公	yidw
方兴未艾	yifa
望洋兴叹	yiik
谨小慎微	yint
言归于好	yjgv
文明礼貌	yjpe
言听计从	ykyw
忘恩负义	ylqy
旗帜鲜明	ymqj
望风披靡	ymry
言必有据	yndr
齐心协力	ynfl
记忆犹新	ynqu
高屋建瓴	ynvw
夜以继日	ynxj
诚心诚意	ynyu
高官厚禄	ypdp
熟视无睹	ypfh
废寝忘食	ypyw
庞然大物	yqdt
高尔夫球	yqfg
方针政策	yqgt
言外之意	yqpu
应接不暇	yrgj
广播电台	yrjc
调兵遣将	yrku
文质彬彬	yrss
为所欲为	yrwy
主要原因	ysdl
调查研究	ysdp
望梅止渴	yshi
变本加厉	ysld
高等院校	ytbs
刻舟求剑	ytfw
永垂不朽	ytgs
高等学校	ytis
计算中心	ytkn
谈笑风生	ytmt
语重心长	ytnt
夜长梦多	ytsq
妄自尊大	ytud
说长道短	ytut
主管部门	ytuu
麻痹大意	yudu
讳疾忌医	yuna
亡羊补牢	yupp
摩拳擦掌	yuri
证券交易	yuuj
诸如此类	yvho
请君入瓮	yvtw
文化教育	ywfy
讨价还价	ywgw
谈何容易	ywpj
文人相轻	ywsl
放任自流	ywti
衣食住行	ywwt
恋恋不舍	yygw
这就是说	yyjy
高谈阔论	yyuy
有理有据	dgdr2
两全其美	gwau2
见异思迁	mnlt2
心领神会	nwpw2
锦上添花	qhia2
拐弯抹角	ryrq2
自古以来	tdng2
先进集体	tfww2
身体力行	twlt2
合情合理	wnwg2
个人利益	wwtu2
集体利益	wwtu3
主要问题	ysuj2
诲人不倦	ywgw2
黄花菜	aaae
葡萄酒	aais
工艺品	aakk
蔚蓝色	aaqc
茫茫然	aaqd
芭蕾舞	aarl
莫斯科	aatu
欧共体	aaws
医药费	aaxj
英联邦	abdt
警卫员	abkm
警卫连	ablp
茅台酒	acis
巧克力	adlt
蒙古包	adqn
斯大林	adss
基础课	adyj
蒙古族	adyt
莫须有	aede
敬老院	afbp
劳动者	afft
莫过于	afgf
东南亚	afgo
劳动日	afjj
劳动力	aflt
东南风	afmq
劳动局	afnn
或者说	afyu
甚至于	aggf
莫不是	agjg
共青团	aglf
董事长	agta
董事会	agwf
基督教	ahft
工具书	ahnn
某些人	ahww
工学院	aibp
荣誉感	aidg
荧光屏	ainu
蒸汽机	aism
荣誉奖	aiuq
蓄电池	ajib
划时代	ajwa
共患难	akcw
世界观	alcm
黄连素	algx
世界上	alhh
世界杯	alsg
芝加哥	alsk
世界语	alyg
共同社	ampy
共同体	amws
燕尾服	aneb
戈壁滩	anic
慕尼黑	anlf
警惕性	annt
工业区	aoaq
工业品	aokk
营业员	aokm
工业国	aolg
工业局	aonn
营业额	aopt
营业税	aotu
工业化	aowx
工农兵	aprg
蒸馏水	aqii
花名册	aqmm
基金会	aqwf
匿名信	aqwy
基本功	asal
基本上	ashh
基本法	asif
艺术品	askk
艺术家	aspe
工本费	asxj
东西方	asyy
警备区	ataq
获得者	atft
花生油	atim
工程师	atjg
勤务员	atkm
颐和园	atlf
共和国	atlg
花生米	atoy
医务室	atpg
菲律宾	atpr
工程兵	atrg
共和制	atrm
医务所	atrn
革委会	atwf
获奖者	auft
东半球	augf
共产党	auip
革新派	auir
营养品	aukk
东北风	aumq
工商业	auog
医疗所	aurn
劳资科	autu
医疗费	auxj
东道主	auyg
工商户	auyn
甘肃省	avit
工作台	awck
工作服	aweb
工作者	awft
工作量	awjg
革命家	awpe
著作权	awsc
工作站	awuh
工作间	awuj
革命化	awwx
工作组	awxe
工作证	awyg
苏维埃	axfc
菜市场	ayfn
勘误表	ayge
英文版	ayth
散文集	aywy
散文诗	ayyf
出勤率	bayx
联欢会	bcwf
卫戍区	bdaq
出成果	bdjs
出厂价	bdww
聘用制	berm
孔夫子	bfbb
降雨量	bfjg
陈列室	bgpg
陆海空	bipw
孙中山	bkmm
附加税	bltu
附加费	blxj
出发点	bnhk
孙悟空	bnpw
职业病	boug
辽宁省	bpit
孤儿院	bqbp
承包商	bqum
防护林	brss
函授生	brtg
陕西省	bsit
卫生院	btbp
卫生厅	btds
出生地	btfb
出入境	btfu
卫生员	btkm
出租车	btlg
卫生巾	btmh
卫生局	btnn
出版社	btpy
卫生所	btrn
卫生站	btuh
卫生间	btuj
卫生部	btuk
卫生纸	btxq
出入证	btyg
出生率	btyx
取决于	bugf
子弟兵	burg
防疫站	buuh
联合国	bwlg
联合会	bwwf
联合体	bwws
联络员	bxkm
阴谋家	bype
联席会	bywf
艰巨性	cant
双职工	cbaa
参观者	ccft
参观团	cclf
马克思	cdln
双月刊	cefj
通用性	cent
参考书	cfnn
对不起	cgfh
邓小平	cigu
台湾省	ciit
能源部	ciuk
参加者	clft
双轨制	clrm
戏剧性	cnnt
马尼拉	cnru
戏剧片	cnth
观察员	cpkm
观察家	cppe
马铃薯	cqal
对角线	cqxg
预制板	crsr
马拉松	crsw
预备队	ctbw
对得起	ctfh
预处理	ctgj
通知书	ctnn
双重性	ctnt
预选赛	ctpf
预备生	cttg
通行证	ctyg
对立面	cudm
台北市	cuym
难道说	cuyu
通信班	cwgy
通信连	cwlp
通信兵	cwrg
圣诞节	cyab
参议院	cybp
通讯员	cykm
通讯社	cypy
圣诞树	cysc
参谋长	cyta
通讯录	cyvi
硬功夫	dafw
胡萝卜	dahh
尤其是	dajg
大工业	daog
石英钟	daqk
大革命	dawg
大功率	dayx
太阳能	dbce
艳阳天	dbgd
原子核	dbsy
太阳系	dbtx
三联单	dbuj
原子弹	dbxu
万能胶	dceu
万能表	dcge
大熊猫	dcqt
夏威夷	ddgx
左右手	ddrt
大面积	ddtk
太原市	ddym
有助于	degf
大脑炎	deoo
百老汇	dfia
大无畏	dflg
大老粗	dfoe
碰运气	dfrn
大规模	dfsa
大专生	dftg
成都市	dfym
万元户	dfyn
大理石	dgdg
太平洋	dgiu
三环路	dgkh
故事片	dgth
太平间	dguj
龙王爷	dgwq
有没有	dide
感兴趣	difh
大洋洲	diiy
非党员	dikm
大学生	ditg
耗电量	djjg
夏时制	djrm
大师傅	djwg
有时候	djwh
大跃进	dkfj
大中型	dkga
大踏步	dkhi
历史剧	dknd
历史性	dknt
百叶窗	dkpw
成品率	dkyx
大罢工	dlaa
三轮车	dllg
大团结	dlxf
硬骨头	dmud
大幅度	dmya
大发展	dnna
厅局级	dnxe
研究院	dpbp
研究员	dpkm
研究室	dppg
大字报	dprb
研究所	dprn
研究生	dptg
百家姓	dpvt
研究会	dpwf
石家庄	dpyf
大家庭	dpyt
三角形	dqga
面包车	dqlg
非金属	dqnt
大多数	dqov
三角板	dqsr
大扫除	drbw
大气压	drdf
万年青	drge
大批量	drjg
大兵团	drlf
大气层	drnf
成年人	drww
克格勃	dsfp
大西洋	dsiu
原材料	dsou
大检查	dssj
三极管	dstp
太极拳	dsud
大西北	dsux
有利于	dtgf
大循环	dtgg
大自然	dtqd
矿物质	dtrf
有效期	duad
三门峡	dumg
龙卷风	dumq
大奖赛	dupf
成交额	dupt
原单位	duwu
大部分	duwv
大辩论	duyw
大杂烩	dvow
秦始皇	dvrg
三八式	dwaa
夏令营	dwap
大体上	dwhh
大会堂	dwip
存储器	dwkk
百分数	dwov
百分之	dwpp
大使馆	dwqn
大伙儿	dwqt
三合板	dwsr
大集体	dwws
大众化	dwwx
百分比	dwxx
成绩单	dxuj
原计划	dyaj
万言书	dynn
友谊赛	dypf
硬设备	dytl
石膏像	dywq
月台票	ecsf
朋友们	edwu
肝硬化	edwx
脱脂棉	eesr
肥胖症	eeug
受教育	efyc
月平均	egfq
用不着	egud
县政府	egyw
助学金	eiqq
及时性	ejnt
助听器	ekkk
胆固醇	elsg
县团级	elxe
采购员	emkm
乳制品	erkk
乳白色	erqc
服役期	etad
服务台	etck
服务员	etkm
服务业	etog
服务站	etuh
服务部	etuk
服务费	etxj
服装厂	eudg
助记词	eyyn
袁世凯	famn
地区性	fant
雪茄烟	faol
塔斯社	fapy
老黄牛	farh
坏东西	fasg
干革命	fawg
救世主	fayg
雪花膏	fayp
教职工	fbaa
雷阵雨	fbfg
嘉陵江	fbia
进出口	fbkk
教职员	fbkm
无限制	fbrm
老古董	fdat
十三陵	fdbf
老太太	fddy
盐碱地	fdfb
示威者	fdft
超大型	fdga
老太婆	fdih
无非是	fdjg
教研室	fdpg
志愿军	fdpl
志愿兵	fdrg
老大哥	fdsk
地面站	fduh
老百姓	fdvt
老大娘	fdvy
老大爷	fdwq
教研组	fdxe
动脑筋	fete
地县级	fexe
运动鞋	ffaf
运动队	ffbw
十二月	ffee
运动场	fffn
运动战	ffhk
超声波	ffih
元老派	ffir
云南省	ffit
过去时	ffjf
需求量	ffjg
运动员	ffkm
霹雳舞	ffrl
二进制	ffrm
老规矩	fftd
垃圾箱	ffts
运动会	ffwf
老一辈	fgdj
进一步	fghi
地下室	fgpg
老天爷	fgwq
无政府	fgyw
老婆子	fibb
教学法	fiif
老婆婆	fiih
无党派	fiir
喜洋洋	fiiu
直流电	fijn
示波器	fikk
救济金	fiqq
载波机	fism
教学楼	fiso
干电池	fjib
南昌市	fjym
地中海	fkit
云贵川	fkkt
进口车	fklg
进口货	fkwx
运输队	flbw
动力学	flip
运输机	flsm
运输线	flxg
直辖市	flym
井冈山	fmmm
喜剧片	fnth
专业性	font
专业化	fowx
专业课	foyj
专业户	foyn
无穷大	fpdd
真实性	fpnt
老祖宗	fppf
吉祥物	fptr
专案组	fpxe
南宁市	fpym
超负荷	fqaw
朝鲜族	fqyt
老掉牙	frah
献殷勤	frak
无损于	frgf
地质学	frip
救护车	frlg
二把手	frrt
动手术	frsy
走后门	fruy
无所谓	fryl
吉林省	fsit
南极洲	fsiy
需要量	fsjg
动植物	fstr
老板娘	fsvy
规格化	fswx
博物院	ftbp
专利法	ftif
专利号	ftkg
动物园	ftlf
进行曲	ftma
规律性	ftnt
未知数	ftov
博物馆	ftqn
专利权	ftsc
起重机	ftsm
教务长	ftta
老先生	fttg
土特产	ftut
支委会	ftwf
无条件	ftwr
增长率	ftyx
老前辈	fudj
无产者	fuft
十六开	fuga
走资派	fuir
南美洲	fuiy
裁判员	fukm
吉普车	fulg
示意图	fult
老头儿	fuqt
干着急	fuqv
老资格	fust
真善美	fuug
超产奖	fuuq
专门化	fuwx
培养费	fuxj
未婚夫	fvfw
未婚妻	fvgv
城建局	fvnn
老奶奶	fvve
老好人	fvww
坏分子	fwbb
起作用	fwet
老八路	fwkh
老人家	fwpe
干什么	fwtc
进修生	fwtg
老爷爷	fwwq
零售价	fwww
进化论	fwyw
无线电	fxjn
教练员	fxkm
教练机	fxsm
无纪律	fxtv
培训班	fygy
超高频	fyhi
教育界	fylw
教育局	fynn
教育处	fyth
教育部	fyuk
南京市	fyym
天花板	gasr
理工科	gatu
开幕词	gayn
一阵子	gbbb
现阶段	gbwd
不能不	gcgi
表达式	gdaa
青春期	gdad
一辈子	gdbb
两面派	gdir
麦克风	gdmq
正确性	gdnt
亚非拉	gdru
不在乎	gdtu
表面化	gdwx
麦乳精	geog
副县长	geta
互助组	gexe
青霉素	gfgx
平均数	gfov
正规军	gfpl
一块儿	gfqt
副教授	gfre
开场白	gfrr
还需要	gfsv
班干部	gfuk
平均奖	gfuq
平均值	gfwf
正规化	gfwx
再教育	gfyc
五一节	ggab
一下子	ggbb
还不能	ggce
下一步	gghi
还不错	ggqa
还不够	ggqk
玻璃钢	ggqm
理事长	ggta
开玩笑	ggtt
理事会	ggwf
青海省	giit
整流器	gikk
政治局	ginn
政治性	gint
政治家	gipe
政治犯	giqt
青少年	girh
副省长	gita
政治部	giuk
政治课	giyj
天津市	giym
一览表	gjge
到时候	gjwh
一口气	gkrn
表兄弟	gkux
一回事	glgk
列车员	glkm
列车长	glta
不见得	gmtj
还必须	gned
殖民地	gnfb
理发师	gnjg
不必要	gnsv
副局长	gnta
玉米面	godm
事业心	gony
事业费	goxj
不定期	gpad
一家子	gpbb
事实上	gphh
烈军属	gpnt
天安门	gpuy
形容词	gpyn
五角星	gqjt
现金帐	gqmh
天然气	gqrn
形象化	gqwx
更年期	grad
亚热带	grgk
豆制品	grkk
青年团	grlf
五指山	grmm
开后门	gruy
青年人	grww
武术队	gsbw
还可能	gsce
副标题	gsjg
还可以	gsny
不得了	gtbn
来得及	gtey
五笔型	gtga
不得不	gtgi
五笔画	gtgl
一系列	gtgq
一等品	gtkk
不得已	gtnn
严重性	gtnt
五笔桥	gtst
一等奖	gtuq
再生产	gtut
弄得好	gtvb
一般化	gtwx
还将有	gude
副总理	gugj
副产品	gukk
青壮年	gurh
表决权	gusc
一部分	guwv
现代戏	gwca
责任感	gwdg
责任田	gwll
环保局	gwnn
责任心	gwny
一会儿	gwqt
责任制	gwrm
一个样	gwsu
更何况	gwuk
致命伤	gwwt
现代化	gwwx
副食店	gwyh
副经理	gxgj
正弦波	gxih
还乡团	gxlf
开绿灯	gxos
正比例	gxwg
五线谱	gxyu
天文台	gyck
一方面	gydm
王府井	gyfj
天主教	gyft
正方形	gyga
天文学	gyip
王永民	gyna
更衣室	gypg
天文馆	gyqn
副主席	gyya
死亡率	gyyx
瞎胡闹	hduy
皮肤病	heug
上下班	hggy
上下文	hgyy
柴油机	hism
上海市	hiym
上星期	hjad
旧中国	hklg
旧社会	hpwf
旧金山	hqmm
紫外线	hqxg
卡拉奇	hrds
目的地	hrfb
瞎指挥	hrrp
卢森堡	hswk
凸透镜	htqu
上半年	hurh
战斗机	husm
具体化	hwwx
江苏省	iait
波斯湾	iaiy
游艺机	iasm
小孩子	ibbb
消防车	iblg
海陆空	ibpw
派出所	ibrn
没出息	ibth
沈阳市	ibym
浮夸风	idmq
水龙头	idud
小百货	idwx
活页纸	idxq
小朋友	iedc
活受罪	ield
洗脸间	ieuj
游击队	ifbw
波士顿	ifgb
游击战	ifhk
河南省	ifit
活动家	ifpe
海南岛	ifqy
汇款单	ifuj
党支部	ifuk
济南市	ifym
水平面	igdm
党政军	igpl
清一色	igqc
小青年	igrh
当事人	igww
水平线	igxg
省政府	igyw
学龄前	ihue
清洁工	iiaa
游泳场	iifn
游泳池	iiib
浙江省	iiit
渤海湾	iiiy
满洲里	iijf
激光器	iikk
小汽车	iilg
流水帐	iimh
江泽民	iina
小学校	iisu
洗澡间	iiuj
党小组	iixe
流水线	iixg
光洁度	iiya
游泳衣	iiye
洗染店	iiyh
洗涤剂	iiyj
清明节	ijab
水电局	ijnn
水电站	ijuh
水电部	ijuk
水果店	ijyh
党中央	ikmd
小吃部	ikuk
小兄弟	ikux
演唱会	ikwf
海口市	ikym
小品文	ikyy
没办法	ilif
小轿车	illg
省辖市	ilym
小册子	imbb
海内外	imqh
活见鬼	imrq
津贴费	imxj
学习班	ingy
洗发膏	inyp
小数点	iohk
少数派	ioir
消炎片	ioth
小业主	ioyg
省军区	ipaq
小家伙	ipwo
游乐场	iqfn
游乐园	iqlf
油印机	iqsm
小儿科	iqtu
洋白菜	irae
洋鬼子	irbb
小摊贩	irmr
少年宫	irpk
少年犯	irqt
汇报会	irwf
法西斯	isad
洛杉矶	isdm
少林寺	isff
江西省	isit
劣根性	isnt
学徒工	itaa
少先队	itbw
注射器	itkk
流行性	itnt
小算盘	itte
学生装	ituf
流行病	itug
常委会	itwf
水利化	itwx
源程序	ityc
学生证	ityg
混凝土	iuff
注意到	iugc
少壮派	iuir
河北省	iuit
小商品	iukk
注意力	iult
法兰西	iusg
没关系	iutx
洋娃娃	ivvf
学杂费	ivxj
小伙子	iwbb
小分队	iwbw
党代表	iwge
学分制	iwrm
液化气	iwrn
混合物	iwtr
党代会	iwwf
消费者	ixft
消费品	ixkk
小组长	ixta
水磨石	iydg
洞庭湖	iyid
小夜曲	iyma
小市民	iyna
洽谈室	iypg
洗衣机	iysm
温度计	iyyf
星期三	jadg
星期天	jagd
归功于	jagf
星期五	jagg
星期日	jajj
星期四	jalh
星期六	jauy
电子表	jbge
电子琴	jbgg
电子学	jbip
电子管	jbtp
电磁场	jdfn
电磁波	jdih
日月潭	jeis
日用品	jekk
电动机	jfsm
野战军	jhpl
日光灯	jios
临时工	jjaa
电影院	jjbp
临时性	jjnt
电影机	jjsm
电影片	jjth
电唱机	jksm
电风扇	jmyn
影剧院	jnbp
野心家	jnpe
电灯泡	joiq
电业局	jonn
电烙铁	joqr
监察院	jpbp
电视台	jpck
监视器	jpkk
电视剧	jpnd
影视业	jpog
电视机	jpsm
鉴定会	jpwf
畅销书	jqnn
显象管	jqtp
影印件	jqwr
畅销货	jqwx
电热器	jrkk
电报局	jrnn
紧接着	jrud
电气化	jrwx
照相馆	jsqn
照相机	jssm
里程碑	jtdr
日程表	jtge
景德镇	jtqf
显微镜	jtqu
时间性	junt
电冰箱	juts
时装店	juyh
电信局	jwnn
电传机	jwsm
明信片	jwth
晶体管	jwtp
螺丝钉	jxqs
蝶恋花	jyaw
时刻表	jyge
日记本	jysg
电话机	jysm
电讯稿	jyty
电话间	jyuj
中草药	kaax
吃苦头	kaud
中联部	kbuk
贵阳市	kbym
跑龙套	kddd
中顾委	kdtv
中南海	kfit
吹鼓手	kfrt
吃老本	kfsg
呈现出	kgbm
只不过	kgfp
吃一堑	kglr
中下层	kgnf
中青年	kgrh
中小型	kiga
中小学	kiip
中学生	kitg
咖啡因	kkld
中距离	kkyb
中国话	klyt
中山陵	kmbf
吹风机	kmsm
中山装	kmuf
跑买卖	knfn
唯心论	knyw
哈密瓜	kprc
中宣部	kpuk
哈尔滨	kqip
吐鲁番	kqto
中外文	kqyy
吹牛皮	krhc
中西医	ksat
中秋节	ktab
吃得开	ktga
中短波	ktih
路透社	ktpy
唯物论	ktyw
中间派	kuir
中美洲	kuiy
中立国	kulg
口头禅	kupy
吃闲饭	kuqn
中间商	kuum
中间人	kuww
口头语	kuyg
中低档	kwsi
中低级	kwxe
中纪委	kxtv
中组部	kxuk
贵州省	kyit
中高档	kysi
中文版	kyth
中文系	kytx
中高级	kyxe
加工厂	ladg
轻工业	laog
男子汉	lbic
国际法	lbif
国际性	lbnt
边防军	lbpl
男孩儿	lbqt
国际歌	lbsk
国防部	lbuk
驾驶员	lckm
驾驶证	lcyg
黑龙江	ldia
